Question,Answer,Bonus 1,Bonus 1 Answer,Bonus 2,Bonus 2 Answer,Difficulty Level,Topic,Year,Contest,Round,Question Number
"Translate the following sentence into English, Fūr domum intrāvit raptum pecūniam",THE THIEF ENTERED THE HOUSE TO STEAL THE MONEY,Translate that sentence using an adverbial clause of purpose,FŪR DOMUM INTRĀVIT UT PECŪNIAM RAPERET,Translate that sentence using a gerundive and the genitive case,FŪR DOMUM INTRĀVIT PECŪNIAE RAPIENDAE CAUSĀ / GRĀTIĀ,Advanced,Grammar Usage,2013,Yale 2013 Advanced,Preliminary Round 1,13
Who was the king of the cannibalistic race of Laestrygonians?,ANTIPHATES,What city was the Laestrygonian capital?,TELEPYLUS,The Laestrygonians traced their ancestry through their ancient king Lamus to which Olympian god?,POSEIDON,Advanced,Mythology,2013,Yale 2013 Advanced,Preliminary Round 1,14
What emperor executed Lentulus Gaetulicus after getting wind of his involvement in a conspiracy?,CALIGULA,Varro Murena and Fannius Caepio were put to death for their involvement in a conspiracy against what emperor?,AUGUSTUS,"What emperor, in the first year of his reign, ordered the execution of four senators who had been accused of plotting to depose him?",HADRIAN,Advanced,History,2013,Yale 2013 Advanced,Preliminary Round 1,15
"What author, whose genius was first recognized by Pollio, wrote a work containing 10 brief poems on pastoral themes that included the stories of Cordyon, Alexis, Tityrus, and the real poet Cornelius Gallus, which is collectively called the Eclogues?",VERGIL,Which of Vergil’s Eclogues is called the “Messianic Eclogue”?,FOURTH,What other famous work of Vergil’s was edited posthumously by Varius and Tucca?,AENEID,Advanced,Literature,2013,Yale 2013,Preliminary Round 1,16
"Of the words contumelia, fanum, aes, and latebra, which is being described here, Hūc omnēs conveniunt laudatum deōs.",FANUM,Multī nummī hōc creatī sunt.,AES,Hoc tuī inimicī saepe tibi dicunt.,CONTUMELIA,Advanced,Grammar Vocab,2013,Yale 2013,Preliminary Round 1,17
"What name in mythology is shared by a daughter of Bellerophon and Philonoë and the wife of Protesilaüs, the first Greek killed at Troy?",LAODAMEIA,"What king of Iolcus and cousin of Jason was the father of Laodameia, the wife of Protesilaüs?",ACASTUS,What fellow Argonaut did Acastus purify of either murdering Phocus or accidentally killing Eurytion?,PELEUS,Advanced,Mythology,2013,Yale Certamen 2013,Preliminary Round 1,18
"From what Latin verb with what meaning do we derive “combustible”,",ŪRŌ – BURN,"From what Latin noun, perhaps related to ūrō, with what meaning do we derive the English noun “bust”, as in a statue,",BŪSTUM – FUNERAL PYRE,"From what completely unrelated Latin noun with what meaning do we derive “robust”,",ROBUR – OAK/STRENGTH,Advanced,Grammar Derivatives,2013,Yale 2013 Advanced,Preliminary Round 1,19
"What late Christian author, born in Stridon, wrote a series of biographies modeled off of Suetonius about the lives of famous Christians?",SAINT JEROME,What was the title of this biographical work?,DE VIRIS ILLUSTRIBUS,What was the last biography contained in Jerome’s De Viris Illustribus?,HIS OWN/JEROME’S,Advanced,History,2013,Yale 2013 Advanced,Preliminary Round 1,20
Let's go to Athens,EAMUS ATHĒNĀS,What was the effect of the Lex Ogulnia?,Opened priesthood to plebeians,"During what war did the Romans pass the Lex Oppia, which restricted a woman’s wealth as well as her ability to display her wealth in her dress and other personal adornments?",2nd Punic War,Advanced,History,2013,Yale 2013 Advanced,Preliminary Round 1,Bonus LANGUAGE
"Translate into English, Ego miror cūr mē spectēs",I WONDER WHY YOU ARE LOOKING AT ME,"Translate, Tū nōn es maior natū mē",YOU ARE NOT OLDER THAN I,"Translate, Hāc aestāte Syrācūsās proficīscēmur",THIS SUMMER WE WILL SET OUT FOR SYRACUSE,Advanced,Grammar Usage,2013,Yale 2013 Advanced,Preliminary Round 2,5
What daughter of Gaia and Ouranos lay with an Olympian god for nine consecutive nights in Pieria and bore him just as many talented daughters?,MNEMOSYNE,"According to Pausanias, what two giants were the first to locate the Muses on Mount Helicon?",OTUS & EPHIALTES,"The Muses were notorious for vindictiveness when challenged, Whom did they blind and take away his poetic abilities when he challenged them to a singing contest and lost?",THAMYRIS,Advanced,Mythology,2013,Yale 2013 Advanced,Preliminary Round 2,10
What author of Iberian and Celtic ancestry who came to Rome from Spain circa 63 AD wrote a poem commemorating the opening of the Colosseum?,MARTIAL,What was the title of this work?,LIBER SPECTACULORUM,For what style of poetry was Martial most famous?,EPIGRAM,Advanced,Literature,2013,Yale 2013 Advanced,Preliminary Round 2, 12
"Translate the following sentence into English, Fūr domum intrāvit raptum pecūniam",THE THIEF ENTERED THE HOUSE TO STEAL THE MONEY,"Translate that sentence using an adverbial clause of purpose,",FŪR DOMUM INTRĀVIT UT PECŪNIAM RAPERET,"Translate that sentence using a gerundive and the genitive case,",FŪR DOMUM INTRĀVIT PECŪNIAE RAPIENDAE CAUSĀ / GRĀTIĀ,Advanced,Grammar Usage,2013,Yale 2013,Preliminary Round 2,13
Who was the king of the cannibalistic race of Laestrygonians?,ANTIPHATES,What city was the Laestrygonian capital?,TELEPYLUS,The Laestrygonians traced their ancestry through their ancient king Lamus to which Olympian god?,POSEIDON,Advanced,Mythology,2013,Yale 2013 Advanced,Preliminary Round 2,14
"Of the words contumelia, fanum, aes, and latebra, which is being described here, Hūc omnēs conveniunt laudatum deōs",FANUM,Multī nummī hōc creatī sunt,AES,Hoc tuī inimicī saepe tibi dicunt,CONTUMELIA,Advanced,Grammar Vocab,2013,Yale 2013,Preliminary Round 2,17
"What name in mythology is shared by a daughter of Bellerophon and Philonoë and the wife of Protesilaüs, the first Greek killed at Troy?",LAODAMEIA,"What king of Iolcus and cousin of Jason was the father of Laodameia, the wife of Protesilaüs?",ACASTUS,What fellow Argonaut did Acastus purify of either murdering Phocus or accidentally killing Eurytion?,PELEUS,Advanced,Mythology,2013,Yale Certamen 2013,Preliminary Round 2,18
"From what Latin verb with what meaning do we derive “combustible”,",ŪRŌ – BURN,"From what Latin noun, perhaps related to ūrō, with what meaning do we derive the English noun “bust”, as in a statue",BŪSTUM – FUNERAL PYRE,"From what completely unrelated Latin noun, with what meaning do we derive “robust”",ROBUR – OAK/STRENGTH,Advanced,Grammar Derivatives,2013,Yale 2013,Preliminary Round 2,19
"What late Christian author, born in Stridon, wrote a series of biographies modeled off of Suetonius about the lives of famous Christians?",SAINT JEROME,What was the title of this biographical work?,DE VIRIS ILLUSTRIBUS,What was the last biography contained in Jerome’s De Viris Illustribus?,HIS OWN/JEROME’S,Advanced,History,2013,Yale 2013 Advanced,Preliminary Round 2,20
Who claimed to have invented a new genre of literature when he composed love letters in verse?,OVID,What was this work?,HEROIDES,To whom does Sappho address her letter in this work?,PHAON,Advanced,Literature,2013,Yale 2013,Preliminary Round 3,2
Who in mythology is sometimes credited with having invented the wheel so that he could more quickly reach people to instruct them in the sowing of grain?,Triptolemus,None,None,None,None,Advanced,Mythology,2013,Yale Certamen 2013,Preliminary Round 3,3
Differentiate in meaning between the verbs dōnō and domō,Dōnō – GIVE / PRESENT,Domō – SUBDUE,"CONTROL, DOMINATE",None,None,Advanced,Grammar Vocab,2013,Yale 2013,Preliminary Round 3,4
"Translate into English, Ego miror cūr mē spectēs",I WONDER WHY YOU ARE LOOKING AT ME,"Translate, Tū nōn es maior natū mē",YOU ARE NOT OLDER THAN I,"Translate, Hāc aestāte Syrācūsās proficīscēmur",THIS SUMMER WE WILL SET OUT FOR SYRACUSE,Advanced,Grammar Usage,2013,Yale 2013 Advanced,Preliminary Round 3,5
"Translate this sentence using the verb putō, ""We thought that your brother was dead,""",PUTĀVIMUS TUUM FRATREM MORTUUM ESSE,"Translate this sentence by using a future infinitive, ""We hope that he is alive,""",SPĒRAMUS EUM VICTURUM ESSE,Translate that sentence using the subjunctive,SPĒRAMUS FORE UT VIVAT,Advanced,Grammar Usage,2013,Yale 2013 Advanced,Preliminary Round 3,6
"Translate this sentence into Latin, ""We learn many things by doing"",",DISCIMUS MULTA / MULTĀS RĒS AGENDŌ FACIENDŌ,None,None,None,None,Advanced,Grammar Usage,2013,Yale 2013 Advanced,Preliminary Round 3,9
"Who dabbled in Manichaeism and Neo-Platonism before finally converting to Christianity at age 32, much to the joy of his mother Monica?",St. Augustine,In what African town did St. Augustine finally settle as bishop?,Hippo,In what Italian town did Augustine’s mother die?,Ostia,Advanced,Literature,2013,Yale 2013,Preliminary Round 3,10
Beneath what wealthy city of the Etruscan League did the Romans allegedly build a tunnel in order to capture the city after a long 10-year siege?,VEII,Give the tria nōmina for the dictator who led this siege?,MARCUS FURIUS CAMILLUS,To what town did Camillus go in exile in 395 BC?,ARDEA,Advanced,History,2013,Yale 2013 Advanced,Preliminary Round 3,11
"Translate the following sentence into English, Fūr domum intrāvit raptum pecūniam",THE THIEF ENTERED THE HOUSE TO STEAL THE MONEY,"Translate that sentence using an adverbial clause of purpose,",FŪR DOMUM INTRĀVIT UT PECŪNIAM RAPERET,"Translate that sentence using a gerundive and the genitive case,",FŪR DOMUM INTRĀVIT PECŪNIAE RAPIENDAE CAUSĀ / GRĀTIĀ,Advanced,Grammar Usage,2013,Yale 2013 Advanced,Preliminary Round 3,13
Who was the king of the cannibalistic race of Laestrygonians?,ANTIPHATES,What city was the Laestrygonian capital?,TELEPYLUS,The Laestrygonians traced their ancestry through their ancient king Lamus to which Olympian god?,POSEIDON,Advanced,Mythology,2013,Yale 2013 Advanced,Preliminary Round 3,14
What emperor executed Lentulus Gaetulicus after getting wind of his involvement in a conspiracy?,CALIGULA,Varro Murena and Fannius Caepio were put to death for their involvement in a conspiracy against what emperor?,AUGUSTUS,"What emperor , in the first year of his reign , ordered the execution of four senators who had been accused of plotting to depose him?",HADRIAN,Advanced,History,2013,Yale 2013 Advanced,Preliminary Round 3,15
"What author, whose genius was first recognized by Pollio, wrote a work containing 10 brief poems on pastoral themes that included the stories of Cordyon, Alexis, Tityrus, and the real poet Cornelius Gallus, which is collectively called the Eclogues?",Vergil,"Which of Vergil's Eclogues is called the ""Messianic Eclogue""?",Fourth,What other famous work of Vergil's was edited posthumously by Varius and Tucca?,Aeneid,Advanced,Literature,2013,Yale 2013 Advanced,Preliminary Round 3,16
"Of the words contumelia, fanum, aes, and latebra which is being described here, Hūc omnēs conveniunt laudatum deōs",FANUM,Multī nummī hōc creatī sunt,AES,Hoc tuī inimicī saepe tibi dicunt,CONTUMELIA,Advanced,Grammar Vocab,2013,Yale 2013 Advanced,Preliminary Round 3,17
"What name in mythology is shared by a daughter of Bellerophon and Philonoë and the wife of Protesilaüs, the first Greek killed at Troy?",LAODAMEIA,"What king of Iolcus and cousin of Jason was the father of Laodameia, the wife of Protesilaüs?",ACASTUS,What fellow Argonaut did Acastus purify of either murdering Phocus or accidentally killing Eurytion?,PELEUS,Advanced,Mythology,2013,Yale Certamen 2013,Preliminary Round 3,18
"From what Latin verb with what meaning do we derive “combustible”,",ŪRŌ – BURN,"From what Latin noun, perhaps related to ūrō, with what meaning do we derive the English noun “bust”, as in a statue",BŪSTUM – FUNERAL PYRE,"From what completely unrelated Latin noun, with what meaning do we derive “robust”,",ROBUR – OAK/STRENGTH,Advanced,Grammar Derivatives,2013,Yale 2013 Advanced,Preliminary Round 3,19
"What late Christian author, born in Stridon, wrote a series of biographies modeled off of Suetonius about the lives of famous Christians?",Saint Jerome,What was the title of this biographical work?,De Viris Illustribus,What was the last biography contained in Jerome’s De Viris Illustribus?,His own/Jerome’s,Advanced,History,2013,Yale 2013 Advanced,Preliminary Round 3,20
What nymph ran to the river Ladon and prayed to the water nymphs there to save her from the amorous pursuit of Pan?,SYRINX,In what region of Greece did Syrinx live?,ARCADIA,Pan unsuccessfully challenged Apollo on his new instrument in a contest adjudicated by which mountain deity?,TMOLUS,Advanced,Mythology,2013,Yale 2013,Semifinals,1
"Who was the author of the following works of Latin Literature, Medea, Remedia Amoris, Medicamina Faciei Femineae, Fasti, Metamorphoses",OVID,"What other work of Ovid's was most likely the ""carmen"" that helped cause his banishment?",ARS AMATORIA,Where was Ovid exiled?,TOMI,Advanced,Literature,2013,Yale 2013,Semifinals,2
"Translate, Vergilius scrīpsit poemāta mirābilia audītū",VERGIL WROTE POEMS WONDERFUL TO HEAR,"Translate, Aliquī fantur Vergilius fuisse meliōrem poētam quam Horātium",SOME SAY THAT VERGIL WAS A BETTER POET THAN HORACE,"Translate, Omnēs, autem, sciunt Ovidium dīxisse formās mutātās in corpora nova","EVERYONE, HOWEVER, KNOWS THAT OVID SPOKE OF FORMS CHANGED INTO NEW BODIES",Advanced,Grammar Usage,2013,Yale 2013 Advanced,Semifinals,3
"What famous work, of which only books 5 through 10 survive, was a systematic treatise on Latin grammar?",DE LINGUA LATINA,To whom were the surviving books dedicated?,CICERO,How many books total was the De Lingua Latina?,25,Advanced,Grammar Usage,2013,Yale 2013 Advanced,Semifinals,4
"Translate, Vergilius scrīpsit poemāta mirābilia audītū",VERGIL WROTE POEMS WONDERFUL TO HEAR,"Translate, Aliquī fantur Vergilius fuisse meliōrem poētam quam Horātium",SOME SAY THAT VERGIL WAS A BETTER POET THAN HORACE,"Translate, Omnēs, autem, sciunt Ovidium dīxisse formās mutātās in corpora nova","EVERYONE, HOWEVER, KNOWS THAT OVID SPOKE OF FORMS CHANGED INTO NEW BODIES",Advanced,Grammar Usage,2013,Yale 2013 Advanced,Semifinals,5
"What prolific author's lesser works included the poems Epicharmus, Euhemerus, and Sota?",Quintus Ennius,None,None,None,None,Advanced,Literature,2013,Yale 2013 Advanced,Semifinals,6
From what Latin verb with what meaning do we derive “emulsion”?,MULGEŌ – MILK,From what Latin verb with what meaning do we derive “demulcent”?,MULCEŌ – SOOTHE,From what Latin verb with what meaning do we derive “mugient”?,MŪGIŌ – BELLOW,Advanced,Grammar Derivatives,2013,Yale,Semifinals,7
What Roman general led the sack of Syracuse in 211 BC?,MARCELLUS,What Roman general led the sack of Corinth in 146 BC?,MUMMIUS,What Roman general led the sack of Athens in 86 BC?,SULLA,Advanced,History,2013,Yale 2013,Semifinals,8
"Translate this sentence into Latin, ""We learn many things by doing""",DISCIMUS MULTA / MULTĀS RĒS AGENDŌ FACIENDŌ,None,None,None,None,Advanced,Grammar Usage,2013,Yale 2013 Advanced,Semifinals,9
"Who dabbled in Manichaeism and Neo-Platonism before finally converting to Christianity at age 32, much to the joy of his mother Monica?",St. Augustine,In what African town did St. Augustine finally settle as bishop?,Hippo,In what Italian town did Augustine’s mother die?,Ostia,Advanced,Literature,2013,Yale 2013 Advanced,Semifinals,10
"Listen carefully to the following passage, Puer nomine Marcus, et puella nomine Iulia, in domo antiquo habitaverunt, Mater eorum, uno die, iussit eos ascendere proximum collem ut obtinerent aquam, Itaque Marcus et Iulia ascenderunt collem quam cellerime quo magis placerent matri, Subito, autem, Marcus labitur et volvit sub collem, Quid mater iussit liberos obtinere?",AQUAM,Quomodo liberi ascenderunt collem?,QUAM CELERRIMĒ,Quid accidit dum liberi ascenderent?,MARCUS LABITUR ET SUB COLLEM VOLVIT,Advanced,Grammar Listening Comprehension,2013,Yale 2013 Advanced,Semifinals,11
"What animal, according to Euripides, ravaged the crops of Oenoe until Herakles killed it and consecrated its horns in the temple of Oenoetian Artemis?",CERYNEAN / CERYNITIAN HIND,"According to legend, for how long did Herakles pursue the hind?",ONE YEAR,Why were the hind’s horns an appropriate sacrifice to the goddess?,THEY WERE MADE OF GOLD / THE HIND WAS SACRED TO HER,Advanced,Mythology,2013,Yale 2013 Advanced,Semifinals, 12
"Translate the following sentence into English, Fūr domum intrāvit raptum pecūniam",THE THIEF ENTERED THE HOUSE TO STEAL THE MONEY,"Translate that sentence using an adverbial clause of purpose,",FŪR DOMUM INTRĀVIT UT PECŪNIAM RAPERET,"Translate that sentence using a gerundive and the genitive case,",FŪR DOMUM INTRĀVIT PECŪNIAE RAPIENDAE CAUSĀ / GRĀTIĀ,Advanced,Grammar Usage,2013,Yale 2013 Advanced,Semifinals,13
"What city was the Laestrygonian capital,",TELEPYLUS,"The Laestrygonians traced their ancestry through their ancient king Lamus to which Olympian god,",POSEIDON,None,None,Advanced,Mythology,2013,Yale 2013,Semifinals,14
What emperor executed Lentulus Gaetulicus after getting wind of his involvement in a conspiracy?,Caligula,Varro Murena and Fannius Caepio were put to death for their involvement in a conspiracy against what emperor?,Augustus,What emperor in the first year of his reign ordered the execution of four senators who had been accused of plotting to depose him?,Hadrian,Advanced,History,2013,Yale 2013,Semifinals,15
What nymph ran to the river Ladon and prayed to the water nymphs there to save her from the amorous pursuit of Pan?,SYRINX,In what region of Greece did Syrinx live?,ARCADIA,Pan unsuccessfully challenged Apollo on his new instrument in a contest adjudicated by which mountain deity?,TMOLUS,Advanced,Mythology,2013,Yale 2013 Advanced,Semifinals,16
"Of the words contumelia, fanum, aes, and latebra, which is being described here, Hūc omnēs conveniunt laudatum deōs",FANUM,Multī nummī hōc creatī sunt,AES,Hoc tuī inimicī saepe tibi dicunt,CONTUMELIA,Advanced,Grammar Vocab,2013,Yale 2013 Advanced,Semifinals,17
What queen made Herakles wear a dress and spin wool while he was enslaved by her?,OMPHALE,Why was Heracles enslaved by Omphale?,HE HAD TO BE PURIFIED OF MURDER (OF IPHITUS),What Calydonian princess did Heracles eventually marry?,DEIANEIRA,Advanced,Mythology,2013,Yale 2013 Advanced,Semifinals,18
"From what Latin verb with what meaning do we derive “combustible”, ŪRŌ – BURN",From what Latin noun,"perhaps related to ūrō, with what meaning do we derive the English noun “bust”, as in a statue?",BŪSTUM – FUNERAL PYRE,From what completely unrelated Latin noun with what meaning do we derive “robust”?,ROBUR – OAK/STRENGTH,Advanced,Grammar Derivatives,2013,Yale 2013 Advanced,Semifinals,19
"What late Christian author, born in Stridon, wrote a series of biographies modeled off of Suetonius about the lives of famous Christians?",SAINT JEROME,What was the title of this biographical work?,DE VIRIS ILLUSTRIBUS,What was the last biography contained in Jerome’s De Viris Illustribus?,HIS OWN/JEROME’S,Advanced,History,2013,Yale 2013 Advanced,Semifinals,20
What nymph ran to the river Ladon and prayed to the water nymphs there to save her from the amorous pursuit of Pan?,SYRINX,In what region of Greece did Syrinx live?,ARCADIA,Pan unsuccessfully challenged Apollo on his new instrument in a contest adjudicated by which mountain deity?,TMOLUS,Advanced,Mythology,2013,Yale 2013 Advanced,Semifinals,Bonus HISTORY
What nymph ran to the river Ladon and prayed to the water nymphs there to save her from the amorous pursuit of Pan?,SYRINX,In what region of Greece did Syrinx live?,ARCADIA,Pan unsuccessfully challenged Apollo on his new instrument in a contest adjudicated by which mountain deity?,TMOLUS,Advanced,Mythology,2013,Yale 2013,Semifinals,Bonus MYTHOLOGY
"Listen carefully to the following passage, which I will read twice, then answer the questions that follow in ENGLISH: Olim, sub pelago, erat puella quae dimidia piscis et dimidia puellae erat. Filia Tritonis erat et canere placet sibi. Homines quoque intererant puellae. Maxime cupida erat discendae domi et errandi in terras aridas. Mala strega quae in exsilio erat fefelit puellam et vocem rapuit. Eheu!",None,None,None,None,None,Advanced,Grammar Listening Comprehension,2013,Yale 2013 Advanced,Semifinals,Bonus LANGUAGE
"Who was the Gallic commander at the battle of Gergovia in 52 B,C where Caesar suffered one of only two defeats in his military career",Vercingetorix,Caesar’s other defeat occurred in 48 BC near Dyrrhachium in Greece. Who was the victorious general at this battle,Pompey (the Great),"What proconsul of Gaul unsuccessfully defended Massilia against Caesar in 49 B,C",L. Domitius Ahenobarbus,Advanced,History,YEAR,Yale Certamen Invitational,Finals,1
"Who was the author of the following works of Latin Literature, Medea, Remedia Amoris, Medicamnia Faciei Femineae, Fasti, Metamorphoses?",OVID,What other work of Ovid’s was most likely the “carmen” that helped cause his banishment?,ARS AMATORIA,Where was Ovid exiled?,TOMI,Advanced,Literature,YEAR,Yale 2013,Finals,2
What Roman commander was sent to put down the revolt of the Macedonian pretender Andriscus in 148 B.C?,(Q. CAECILIUS) METELLUS MACEDONICUS,By what other name was Andriscus known?,PSEUDO-PHILIP,Who did Andriscus claim was his father?,PERSEUS,Advanced,History,2013,Yale 2013,Finals,3
"What fruit did the Romans call, malum punicum?",POMEGRANATE,"What fruit did the Romans call, malum persicum?",PEACH,"What fruit did the Romans call, cerasus?",CHERRY,Advanced,Daily Life,2013,Yale 2013 Advanced,Finals,4
"Translate into English, Ego miror cūr mē spectēs",I WONDER WHY YOU ARE LOOKING AT ME,"Translate, Tū nōn es maior natū mē",YOU ARE NOT OLDER THAN I,"Translate, Hāc aestāte Syrācūsās proficīscēmur",THIS SUMMER WE WILL SET OUT FOR SYRACUSE,Advanced,Grammar Usage,2013,Yale 2013,Finals,5
"Make the pronoun hic, haec, hoc agree with the noun form moenia",HAEC,"Now make the pronoun hic, haec, hoc agree with the noun form mōrēs",HĪ / HŌS,Make the phrase hī mōrēs ablative singular,HŌC MŌRE,Advanced,Grammar Forms,2013,Yale 2013,Finals,6
"What father and son, allies of Turnus are both killed by Aeneas in Book 10 of the Aeneid?",MEZENTIUS & LAUSUS,"Mezentius was forced to lead the Italian troops when Turnus leaves the battlefield, Why had Turnus left?","HE HAD CHASED A PHANTOM AENEAS CREATED BY JUNO ONTO A BOAT, AND JUNO HAD SET HIM ADRIFT","This battle in the Aeneid is the first to occur after Jupiter makes a proclamation to the gods about the war between the Trojans and the Italians, What was that proclamation?",THAT THE GODS WOULD NO LONGER TAKE DIRECT ACTION TO AID EITHER SIDE,Advanced,Literature,2013,Yale 2013,Finals,7
What consul captured the Armenian capital of Tigranocerta after a short siege in 69 BC?,LUCULLUS,"The battle of Tigranocerta was fought on October 6. Why specifically did Lucullus' troops regard this day as unlucky, and therefore initially attempt to dissuade Lucullus from fighting?",(ATER DIES MARKING THE) BATTLE OF ARAUSIO,"What battle in the following year, though a victory for the Romans against Tigranes II, precipitated a mutiny in the army against Lucullus?",ARTAXATA,Advanced,History,2013,Yale 2013,Finals,8
"Translate this sentence into Latin, ""We learn many things by doing""",DISCIMUS MULTA / MULTĀS RĒS AGENDŌ FACIENDŌ,"Translate into Latin using the verb volō, velle, ""You should always want to study Latin""",VELĪS / VELĪTIS (UT) STUDEĀS / STUDEĀTIS LATĪNAE,"Translate into Latin using a future imperative, ""May Latin always be the best language""",ESTO LATĪNA OPTIMA LINGUA,Advanced,Grammar Usage,2013,Yale 2013,Finals,9
"Who dabbled in Manichaeism and Neo-Platonism before finally converting to Christianity at age 32, much to the joy of his mother Monica?",St. Augustine,In what African town did St. Augustine finally settle as bishop?,Hippo,In what Italian town did Augustine’s mother die?,Ostia,Advanced,Literature,2013,Yale 2013 Advanced,Finals,10
What emperor was the father of the child emperors Arcadius and Honorius?,Theodosius I/The Great,What general did Theodosius appoint as caretaker for Honorius?,Stilicho,What rival general controlled Arcadius and stymied Stilicho’s actions against Alaric?,(Flavius) Rufinus,Advanced,History,2013,Yale 2013 Advanced,Finals,11
What author of Iberian and Celtic ancestry who came to Rome from Spain circa 63 AD wrote a poem commemorating the opening of the Colosseum?,Martial,What was the title of this work?,Liber Spectaculorum,For what style of poetry was Martial most famous?,Epigram,Advanced,Literature,YEAR,Yale 2013,Finals, 12
"Translate the following sentence into English, Fūr domum intrāvit raptum pecūniam",THE THIEF ENTERED THE HOUSE TO STEAL THE MONEY,Translate that sentence using an adverbial clause of purpose,FŪR DOMUM INTRĀVIT UT PECŪNIAM RAPERET,Translate that sentence using a gerundive and the genitive case,FŪR DOMUM INTRĀVIT PECŪNIAE RAPIENDAE CAUSĀ / GRĀTIĀ,Advanced,Grammar Usage,2013,Yale 2013 Advanced,Finals,13
Who was the king of the cannibalistic race of Laestrygonians?,Antiphates,What city was the Laestrygonian capital?,Telepylus,The Laestrygonians traced their ancestry through their ancient king Lamus to which Olympian god?,Poseidon,Advanced,Mythology,2013,Yale 2013,Finals,14
